t,Temp,P,KE,PE,E,Vol
30,296.921584597293,1383580.03891176,19.305203920574,-1425.24966332554,-1405.94445940497,5000
40,211.539367615546,1387823.33949625,13.7538354935905,-1419.69273817265,-1405.93890267906,5000
50,114.849624655938,1390177.45843339,7.4672760055197,-1413.40214016017,-1405.93486415465,5000
60,95.8704272949056,1387386.44436599,6.23328934267578,-1412.17031018368,-1405.937020841,5000
70,116.288994942814,1385180.82400862,7.56086077115086,-1413.49985031668,-1405.93898954553,5000
80,130.601484003716,1384659.93837581,8.49142808004637,-1414.43026461601,-1405.93883653596,5000
90,137.701763977048,1383619.31973214,8.95307303914979,-1414.89160244836,-1405.93852940921,5000
100,144.661039105917,1382892.79907494,9.40555016601281,-1415.34404191009,-1405.93849174408,5000
110,153.532639088237,1383132.62652398,9.98236254896146,-1415.92095874901,-1405.93859620005,5000
120,161.445176728282,1382990.07979803,10.4968187575845,-1416.43590619194,-1405.93908743435,5000
130,159.482267630189,1382472.41791705,10.3691946225199,-1416.30800529202,-1405.9388106695,5000
140,152.939929256902,1382228.33020539,9.94382582831458,-1415.88194409552,-1405.93811826721,5000
150,154.755258144155,1381980.46071646,10.0618546149346,-1416.0001831855,-1405.93832857057,5000
160,160.891883372976,1381447.29915973,10.4608448115793,-1416.39975437474,-1405.93890956316,5000
170,159.596260851014,1380697.97093913,10.3766062169871,-1416.31542060105,-1405.93881438407,5000
180,152.695177866868,1379677.7923484,9.92791261843168,-1415.86619973073,-1405.9382871123,5000
190,151.219430972927,1378281.33018642,9.83196272391218,-1415.7701256829,-1405.93816295898,5000
200,158.294909894789,1376485.71252001,10.2919951718985,-1416.23051178756,-1405.93851661566,5000
210,165.069935588136,1374556.61428095,10.7324927960594,-1416.67159966709,-1405.93910687103,5000
220,159.969817119542,1373561.03179802,10.4008940435172,-1416.33959964213,-1405.93870559861,5000
230,150.668185304407,1373433.18257897,9.79612191410528,-1415.73412374327,-1405.93800182917,5000
240,151.92735697902,1373271.62242035,9.87799055286516,-1415.81610523702,-1405.93811468415,5000
250,161.426446720026,1373008.50535127,10.4956009726622,-1416.43443903207,-1405.93883805941,5000
260,164.176938957441,1373166.34517582,10.6744320724534,-1416.61338957113,-1405.93895749868,5000
270,157.693306872359,1373048.77872319,10.2528802350609,-1416.19127554163,-1405.93839530657,5000
280,153.405401192564,1371590.08835851,9.97408981417278,-1415.91231834165,-1405.93822852748,5000
290,155.521843422098,1369519.873217,10.1116963437981,-1416.05010070281,-1405.93840435901,5000
300,160.215288762559,1367944.93149324,10.4168540827026,-1416.35545354697,-1405.93859946427,5000
310,162.555225910817,1367162.65941626,10.5689917720852,-1416.50777244011,-1405.93878066803,5000
320,159.224677322724,1367149.45526201,10.3524466537917,-1416.29111227573,-1405.93866562193,5000
330,152.884648474183,1367183.95775667,9.94023159051357,-1415.87861783052,-1405.93838624001,5000
340,149.966711875651,1366328.70906768,9.75051361787658,-1415.68886450804,-1405.93835089016,5000
350,150.713295335055,1365009.56029146,9.7990548714438,-1415.73775482028,-1405.93869994884,5000
360,149.424562420634,1364510.17556498,9.71526422434153,-1415.65356070787,-1405.93829648353,5000
370,152.701998089325,1364096.84741571,9.9283560546524,-1415.86657869042,-1405.93822263577,5000
380,160.880175051806,1363215.0685664,10.4600835616754,-1416.39900512067,-1405.938921559,5000
390,159.909438999258,1363103.36983871,10.3969683877721,-1416.33589892778,-1405.93893054001,5000
400,150.002059058686,1363767.21494291,9.75281181582482,-1415.6909583446,-1405.93814652877,5000
410,147.066233701036,1363670.86082291,9.56193075447832,-1415.50002958116,-1405.93809882668,5000
